full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Juninho Bacuna,25,870937200,1997/08/07,Premier League,2018/2019,Midfielder,Huddersfield Town,1414,722,692,Netherlands,21,11,10,1,0,1,0,0,0,0,0,2,2,0,36,15,21,4,0,0.06,0,0.06,0,0.13,1414,2.29,39,67,354,0,0.25,205,325,-1,7
Junior Stanislas,32,628070400,1989/11/26,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027,559,468,England,23,12,11,2,1,1,3,3,0,1,0,7,4,3,24,8,16,1,0,0.44,0.26,0.18,0.16,0.19,514,2.1,43,45,1027,342,0.09,104,35,-1,7
Jürgen Locadia,28,752659200,1993/11/07,Premier League,2018/2019,Forward,Brighton & Hove Albion,1227,590,637,Netherlands,26,14,12,2,2,0,0,0,0,0,0,4,3,1,19,9,10,1,0,0.15,0,0.15,0.31,0,614,1.39,65,47,1227,0,0.07,120,281,-1,7
Kadeem Harris,29,739522800,1993/06/08,Premier League,2018/2019,Midfielder,Cardiff City,366,133,233,England,13,5,8,1,1,0,0,0,0,0,0,4,1,3,5,1,4,1,0,0.25,0,0.25,0.68,0,366,1.23,73,28,366,0,0.25,79,262,-1,11
Karl Darlow,32,655369200,1990/10/08,Premier League,2018/2019,Goalkeeper,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Karlan Ahearne-Grant,24,882518400,1997/12/19,Premier League,2018/2019,Forward,Huddersfield Town,874,331,543,England,13,6,7,4,2,2,0,0,0,0,0,1,1,0,22,7,15,0,0,0.41,0,0.41,0.54,0.33,219,2.27,40,67,0,0,0,31,308,-1,1
Kasper Schmeichel,35,531561600,1986/11/05,Premier League,2018/2019,Goalkeeper,Leicester City,3420,1710,1710,Denmark,38,19,19,0,0,0,0,0,0,0,0,10,6,4,43,18,25,3,0,0,0,0,0,0,0,1.13,80,90,1140,0,0.08,342,302,50,25
Kayne Ramsey,22,971161200,2000/10/10,Premier League,2018/2019,Midfielder,Southampton,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,19
Kazaiah Sterling,23,910598400,1998/11/09,Premier League,2018/2019,Forward,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kelechi Iheanacho,26,844326000,1996/10/03,Premier League,2018/2019,Forward,Leicester City,926,408,518,Nigeria,30,14,16,1,1,0,3,2,1,0,0,6,4,2,11,5,6,2,0,0.39,0.29,0.1,0.22,0,926,1.07,84,31,463,309,0.19,169,24,-1,13
Kelland Watts,23,941616000,1999/11/03,Premier League,2018/2019,Midfielder,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ken Sema,29,749372400,1993/09/30,Premier League,2018/2019,Midfielder,Watford,755,301,454,Sweden,17,8,9,1,0,1,2,1,1,0,0,6,4,2,8,3,5,1,0,0.36,0.24,0.12,0,0.2,755,0.95,94,44,755,378,0.12,143,47,-1,14
Kenneth Dahrup Zohorè,28,760003200,1994/01/31,Premier League,2018/2019,Forward,Cardiff City,746,388,358,Denmark,19,11,8,1,0,1,1,0,1,0,0,5,2,3,15,9,6,1,0,0.24,0.12,0.12,0,0.25,746,1.81,50,39,746,746,0.12,142,128,-1,12
Kepa Arrizabalaga,28,781167600,1994/10/03,Premier League,2018/2019,Goalkeeper,Chelsea,3240,1620,1620,Spain,36,18,18,0,0,0,0,0,0,0,0,14,9,5,38,12,26,2,0,0,0,0,0,0,0,1.06,85,90,1620,0,0.06,364,363,39,24
Kevin De Bruyne,31,678092400,1991/06/28,Premier League,2018/2019,Midfielder,Manchester City,974,477,497,Belgium,19,9,10,2,2,0,2,0,2,0,0,12,6,6,3,1,2,2,0,0.37,0.18,0.18,0.38,0,487,0.28,325,51,487,487,0.18,109,75,-1,10
Kevin Long,32,650962800,1990/08/18,Premier League,2018/2019,Defender,Burnley,513,90,423,Republic of Ireland,6,1,5,0,0,0,1,0,1,0,0,1,0,1,7,2,5,0,0,0.18,0.18,0,0,0,0,1.23,73,86,0,513,0,293,72,70,15
Kevin McDonald,33,594633600,1988/11/04,Premier League,2018/2019,Midfielder,Fulham,842,399,443,Scotland,15,8,7,0,0,0,0,0,0,0,0,0,0,0,25,12,13,6,1,0,0,0,0,0,0,2.67,34,56,140,0,0.64,317,410,-1,25
Kieran Dowell,25,876466800,1997/10/10,Premier League,2018/2019,Midfielder,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kieran Trippier,32,653727600,1990/09/19,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,1188,1090,England,27,14,13,1,1,0,3,0,3,0,0,10,5,5,20,10,10,2,0,0.16,0.12,0.04,0.08,0,2278,0.79,114,84,1139,759,0.08,230,122,19,12
Konstantinos Mavropanos,24,881827200,1997/12/11,Premier League,2018/2019,Defender,Arsenal,150,46,104,Greece,4,1,3,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.6,150,38,150,0,0.6,-1,-1,-1,19
Kortney Hause,27,805878000,1995/07/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kurt Zouma,28,783241200,1994/10/27,Premier League,2018/2019,Defender,Everton,2610,1350,1260,France,32,16,16,2,1,1,2,0,2,0,0,11,8,3,37,17,20,5,1,0.14,0.07,0.07,0.07,0.07,1305,1.28,71,82,522,1305,0.17,192,185,83,7
Kyle Taylor,23,935823600,1999/08/28,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kyle Walker,32,643878000,1990/05/28,Premier League,2018/2019,Defender,Manchester City,2777,1245,1532,England,33,15,18,1,1,0,1,0,1,0,0,18,7,11,17,9,8,3,0,0.06,0.03,0.03,0.07,0,2777,0.55,163,84,926,2777,0.1,250,248,10,14
Kyle Walker-Peters,25,860914800,1997/04/13,Premier League,2018/2019,Defender,Tottenham Hotspur,374,272,102,England,6,4,2,0,0,0,3,3,0,0,0,3,2,1,4,2,2,1,0,0.72,0.72,0,0,0,0,0.96,94,62,374,125,0.24,357,1,25,21
Laurent Depoitre,33,597484800,1988/12/07,Premier League,2018/2019,Forward,Huddersfield Town,1059,446,613,Belgium,23,12,11,0,0,0,1,0,1,0,0,3,2,1,22,6,16,1,0,0.08,0.08,0,0,0,0,1.87,48,46,1059,1059,0.08,331,169,-1,27
Laurent Koscielny,37,495183600,1985/09/10,Premier League,2018/2019,Defender,Arsenal,1328,484,844,France,17,6,11,3,2,1,0,0,0,0,0,4,3,1,21,5,16,1,0,0.2,0,0.2,0.37,0.11,443,1.42,63,78,1328,0,0.07,93,295,103,7
Lazar Marković,28,762595200,1994/03/02,Premier League,2018/2019,Midfielder,Fulham,44,0,44,Serbia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,16
Leander Dendoncker,27,797929200,1995/04/15,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1469,635,834,Belgium,19,9,10,2,1,1,0,0,0,0,0,4,4,0,19,6,13,1,0,0.12,0,0.12,0.14,0.11,735,1.16,77,77,1469,0,0.06,146,331,-1,8
Leandro Bacuna,31,682758000,1991/08/21,Premier League,2018/2019,Midfielder,Cardiff City,554,302,252,Curaçao,11,6,5,0,0,0,0,0,0,0,0,4,2,2,11,10,1,2,0,0,0,0,0,0,0,1.79,50,50,277,0,0.32,281,309,-1,25
Lee Grant,39,412502400,1983/01/27,Premier League,2018/2019,Goalkeeper,Manchester United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Lee Peltier,35,534672000,1986/12/11,Premier League,2018/2019,Defender,Cardiff City,1542,521,1021,England,20,7,13,0,0,0,0,0,0,0,0,6,2,4,21,9,12,4,0,0,0,0,0,0,0,1.23,73,77,386,0,0.23,352,391,72,21
Leighton Baines,37,471600000,1984/12/11,Premier League,2018/2019,Defender,Everton,376,141,235,England,6,3,3,0,0,0,0,0,0,0,0,1,0,1,6,2,4,0,0,0,0,0,0,0,0,1.44,63,63,0,0,0,410,287,109,21
Leon Balogun,34,583484400,1988/06/28,Premier League,2018/2019,Defender,Brighton & Hove Albion,591,309,282,Nigeria,8,4,4,1,1,0,0,0,0,0,0,0,0,0,9,5,4,2,0,0.15,0,0.15,0.29,0,591,1.37,66,74,296,0,0.3,121,292,97,12
Leonardo Bonatini Lohner Maia,28,764841600,1994/03/28,Premier League,2018/2019,Forward,Wolverhampton Wanderers,128,61,67,Brazil,7,4,3,0,0,0,1,0,1,0,0,3,2,1,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,18,0,128,0,-1,-1,-1,14
Leroy Sané,26,821347200,1996/01/11,Premier League,2018/2019,Midfielder,Manchester City,1867,1024,843,Germany,31,16,15,10,5,5,10,6,4,0,0,16,8,8,14,8,6,1,0,0.96,0.48,0.48,0.44,0.53,187,0.67,133,60,1867,187,0.05,19,4,-1,3
Lewis Cass,22,951638400,2000/02/27,Premier League,2018/2019,Defender,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Lewis Cook,25,854956800,1997/02/03,Premier League,2018/2019,Midfielder,AFC Bournemouth,721,381,340,England,13,7,6,0,0,0,0,0,0,0,0,3,1,2,10,5,5,2,0,0,0,0,0,0,0,1.25,72,55,361,0,0.25,362,393,-1,24
Lewis Dunk,30,690710400,1991/11/21,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,1550,1603,England,36,18,18,2,0,2,1,0,1,0,0,7,5,2,53,24,29,7,1,0.09,0.03,0.06,0,0.11,1577,1.51,59,88,450,3153,0.2,203,252,120,5
Loïc Damour,31,663321600,1991/01/08,Premier League,2018/2019,Midfielder,Cardiff City,21,4,17,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,8.57,11,11,0,0,0,-1,-1,-1,15
Loris Karius,29,740732400,1993/06/22,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Luca de la Torre,24,895906800,1998/05/23,Premier League,2018/2019,Midfielder,Fulham,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Lucas Digne,29,743151600,1993/07/20,Premier League,2018/2019,Defender,Everton,2990,1511,1479,France,35,17,18,4,2,2,4,2,2,0,0,14,9,5,36,16,20,6,1,0.24,0.12,0.12,0.12,0.12,748,1.08,83,85,427,748,0.21,147,125,42,5
Lucas Perez,34,589878000,1988/09/10,Premier League,2018/2019,Forward,West Ham United,468,287,181,Spain,15,10,5,3,3,0,0,0,0,0,0,3,2,1,9,5,4,0,0,0.58,0,0.58,0.94,0,156,1.73,52,31,0,0,0,10,276,-1,6
Lucas Rodrigues Moura da Silva,30,713689200,1992/08/13,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,1040,1087,Brazil,32,15,17,10,6,4,0,0,0,0,0,12,7,5,16,9,7,3,0,0.42,0,0.42,0.52,0.33,213,0.68,133,66,709,0,0.13,30,279,-1,3
Lucas Torreira,26,824025600,1996/02/11,Premier League,2018/2019,Midfielder,Arsenal,2377,1231,1146,Uruguay,34,17,17,2,2,0,2,0,2,0,0,6,5,1,35,10,25,8,1,0.15,0.08,0.08,0.15,0,1189,1.33,68,70,264,1189,0.34,190,174,-1,10
Luciano Vietto,28,755078400,1993/12/05,Premier League,2018/2019,Forward,Fulham,983,549,434,Argentina,20,9,11,1,1,0,4,4,0,0,0,1,1,0,21,11,10,1,0,0.46,0.37,0.09,0.16,0,983,1.92,47,49,983,246,0.09,180,11,-1,8
Luka Milivojević,31,671011200,1991/04/07,Premier League,2018/2019,Midfielder,Crystal Palace,3420,1710,1710,Serbia,38,19,19,12,7,5,2,0,2,10,1,12,7,5,47,20,27,10,0,0.37,0.05,0.32,0.37,0.26,285,1.24,73,90,342,1710,0.26,59,210,-1,1
Luke Amos,25,856684800,1997/02/23,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2,0,2,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,23
Luke Dreher,23,912153600,1998/11/27,Premier League,2018/2019,Midfielder,Crystal Palace,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Luke Shaw,27,805532400,1995/07/12,Premier League,2018/2019,Defender,Manchester United,2592,1170,1422,England,29,13,16,1,1,0,4,2,2,0,0,6,1,5,36,16,20,11,0,0.17,0.14,0.03,0.08,0,2592,1.25,72,89,236,648,0.38,262,105,77,13
Lys Mousset,26,823766400,1996/02/08,Premier League,2018/2019,Forward,AFC Bournemouth,345,96,249,France,24,13,11,1,0,1,0,0,0,0,0,5,4,1,13,4,9,1,0,0.26,0,0.26,0,0.36,345,3.39,27,14,345,0,0.26,75,395,-1,11
Maarten Stekelenburg,40,401526000,1982/09/22,Premier League,2018/2019,Goalkeeper,Everton,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mamadou Sakho,32,634896000,1990/02/13,Premier League,2018/2019,Defender,Crystal Palace,2417,1170,1247,France,27,13,14,0,0,0,0,0,0,0,0,9,5,4,32,10,22,2,0,0,0,0,0,0,0,1.19,76,90,1209,0,0.07,322,403,64,21
Manolo Gabbiadini,30,691142400,1991/11/26,Premier League,2018/2019,Forward,Southampton,470,253,217,Italy,12,6,6,1,1,0,0,0,0,0,0,3,2,1,11,3,8,0,0,0.19,0,0.19,0.36,0,470,2.11,43,39,0,0,0,100,357,-1,12
Manuel Lanzini,29,729763200,1993/02/15,Premier League,2018/2019,Midfielder,West Ham United,688,367,321,Argentina,10,5,5,1,0,1,1,0,1,0,0,2,2,0,11,5,6,2,0,0.26,0.13,0.13,0,0.28,688,1.44,63,69,344,688,0.26,130,111,-1,12
Marc Albrighton,32,627379200,1989/11/18,Premier League,2018/2019,Midfielder,Leicester City,1626,797,829,England,27,14,13,2,1,1,2,1,1,0,0,9,5,4,17,8,9,3,0,0.22,0.11,0.11,0.11,0.11,813,0.94,96,60,542,813,0.17,156,140,-1,8
Marc Guehi,22,963471600,2000/07/13,Premier League,2018/2019,Defender,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marc Navarro Ceciliano,27,804668400,1995/07/02,Premier League,2018/2019,Defender,Watford,84,0,84,Spain,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2.14,42,42,0,0,0,-1,-1,-1,15
Marc Pugh,35,544348800,1987/04/02,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marcos Alonso,31,662371200,1990/12/28,Premier League,2018/2019,Defender,Chelsea,2761,1338,1423,Spain,31,15,16,2,1,1,4,3,1,0,0,14,8,6,28,9,19,6,0,0.2,0.13,0.07,0.07,0.06,1381,0.91,99,89,460,690,0.2,191,112,22,10
Marcus Bettinelli,30,706690800,1992/05/24,Premier League,2018/2019,Goalkeeper,Fulham,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,0,0,0,19,7,12,1,0,0,0,0,0,0,0,2.71,33,90,630,0,0.14,296,283,174,14
Marcus Rashford,25,878284800,1997/10/31,Premier League,2018/2019,Forward,Manchester United,2362,1293,1069,England,33,17,16,10,4,6,6,3,3,0,0,6,2,4,34,17,17,4,1,0.61,0.23,0.38,0.28,0.51,236,1.3,69,72,472,394,0.19,41,52,-1,3
Mario Lemina,29,746866800,1993/09/01,Premier League,2018/2019,Midfielder,Southampton,1615,763,852,Gabon,21,9,12,1,0,1,1,0,1,0,0,4,2,2,32,12,20,5,0,0.11,0.06,0.06,0,0.11,1615,1.78,50,77,323,1615,0.28,211,195,-1,10
Mark Noble,35,547455600,1987/05/08,Premier League,2018/2019,Midfielder,West Ham United,2308,1147,1161,England,31,15,16,5,2,3,5,4,1,4,0,7,4,3,29,12,17,7,1,0.39,0.19,0.19,0.16,0.23,462,1.13,80,74,289,462,0.31,96,70,-1,5
Mark Travers,23,927010800,1999/05/18,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,90,90,Republic of Ireland,2,1,1,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,28
Marko Arnautović,33,608972400,1989/04/19,Premier League,2018/2019,Forward,West Ham United,2000,1083,917,Austria,28,15,13,10,7,3,4,1,3,1,0,5,3,2,31,17,14,3,0,0.63,0.18,0.45,0.58,0.29,200,1.4,65,71,667,500,0.14,26,76,-1,1
Markus Suttner,35,545554800,1987/04/16,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marouane Fellaini,34,564566400,1987/11/22,Premier League,2018/2019,Midfielder,Manchester United,744,217,527,Belgium,14,6,8,0,0,0,1,0,1,0,0,2,1,1,13,2,11,1,0,0.12,0.12,0,0,0,0,1.57,57,53,744,744,0.12,341,129,-1,22
Martin Dúbravka,33,600854400,1989/01/15,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,1710,1710,Slovakia,38,19,19,0,0,0,0,0,0,0,0,11,5,6,44,23,21,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,345,317,58,18
Martin Kelly,32,641199600,1990/04/27,Premier League,2018/2019,Defender,Crystal Palace,1110,660,450,England,13,8,5,0,0,0,0,0,0,0,0,3,2,1,18,11,7,2,0,0,0,0,0,0,0,1.46,62,85,555,0,0.16,326,350,110,18
Martín Montoya,31,671612400,1991/04/14,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,1176,990,Spain,25,14,11,0,0,0,1,0,1,0,0,3,3,0,38,18,20,4,0,0.04,0.04,0,0,0,0,1.58,57,87,542,2166,0.17,294,229,128,13
Mason Greenwood,21,1001919600,2001/10/01,Premier League,2018/2019,Midfielder,Manchester United,115,105,10,England,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.57,58,38,0,0,0,-1,-1,-1,27
Mason Holgate,26,845967600,1996/10/22,Premier League,2018/2019,Defender,Everton,407,270,137,England,5,3,2,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0,0,0,0,0,0,1.99,45,81,407,0,0.22,414,390,160,16
Matěj Vydra,30,704703600,1992/05/01,Premier League,2018/2019,Forward,Burnley,311,91,220,Czech Republic,13,6,7,1,1,0,1,0,1,0,0,1,1,0,4,0,4,1,0,0.58,0.29,0.29,0.99,0,311,1.16,78,24,311,311,0.29,66,23,-1,12
Mateo Kovačić,28,768207600,1994/05/06,Premier League,2018/2019,Midfielder,Chelsea,1743,968,775,Croatia,32,17,15,0,0,0,2,1,1,0,0,12,8,4,18,4,14,3,0,0.1,0.1,0,0,0,0,0.93,97,54,581,872,0.15,291,150,-1,20
Mathew Ryan,30,702716400,1992/04/08,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,Australia,34,17,17,0,0,0,0,0,0,0,0,6,4,2,52,25,27,2,0,0,0,0,0,0,0,1.53,59,90,1530,0,0.06,398,389,122,15
Mathias Jattah-Njie Jørgensen,32,640854000,1990/04/23,Premier League,2018/2019,Defender,Huddersfield Town,2148,1248,900,Denmark,24,14,10,3,1,2,1,0,1,0,0,3,2,1,37,21,16,6,0,0.17,0.04,0.13,0.07,0.2,716,1.55,58,90,358,2148,0.25,129,235,125,2
Matt Butcher,25,863593200,1997/05/14,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Matt Doherty,30,695548800,1992/01/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,Republic of Ireland,38,19,19,4,1,3,5,4,1,0,0,9,7,2,38,18,20,5,0,0.26,0.14,0.11,0.06,0.17,787,1.09,83,83,629,629,0.14,155,100,46,5
Matt Ritchie,33,621414000,1989/09/10,Premier League,2018/2019,Midfielder,Newcastle United,2940,1557,1383,Scotland,36,19,17,2,1,1,8,2,6,1,1,11,5,6,37,21,16,9,0,0.31,0.24,0.06,0.06,0.07,1470,1.13,79,82,327,368,0.28,216,46,-1,6
Matt Targett,27,811407600,1995/09/18,Premier League,2018/2019,Defender,Southampton,1185,483,702,England,16,7,9,1,1,0,3,2,1,0,0,1,0,1,24,10,14,2,0,0.3,0.23,0.08,0.19,0,1185,1.82,49,74,593,395,0.15,183,51,151,11
Matteo Darmian,32,628588800,1989/12/02,Premier League,2018/2019,Defender,Manchester United,443,353,90,Italy,6,5,1,0,0,0,0,0,0,0,0,1,1,0,7,4,3,0,0,0,0,0,0,0,0,1.42,63,74,0,0,0,411,280,102,25
Mattéo Guendouzi Olié,23,924073200,1999/04/14,Premier League,2018/2019,Midfielder,Arsenal,2143,971,1172,France,33,14,19,0,0,0,0,0,0,0,0,4,3,1,28,9,19,9,0,0,0,0,0,0,0,1.18,77,65,238,0,0.38,386,405,-1,26
Matthew Connolly,35,559465200,1987/09/24,Premier League,2018/2019,Defender,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Matthew Lowton,33,613378800,1989/06/09,Premier League,2018/2019,Defender,Burnley,1748,810,938,England,21,9,12,0,0,0,0,0,0,0,0,4,2,2,35,16,19,7,0,0,0,0,0,0,0,1.8,50,83,250,0,0.36,378,342,150,22
Matty Daly,21,984211200,2001/03/10,Premier League,2018/2019,Midfielder,Huddersfield Town,73,49,24,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.23,73,37,0,0,0,-1,-1,-1,18
Max Harrison Sanders,23,915436800,1999/01/04,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Max Kilman,25,864370800,1997/05/23,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Max Meyer,27,811407600,1995/09/18,Premier League,2018/2019,Midfielder,Crystal Palace,1414,718,696,Germany,29,18,11,1,0,1,2,0,2,0,0,8,7,1,19,5,14,3,0,0.19,0.13,0.06,0,0.13,1414,1.21,74,49,471,707,0.19,209,110,-1,8
Maxime Le Marchand,33,624092400,1989/10/11,Premier League,2018/2019,Defender,Fulham,2251,1171,1080,France,26,14,12,0,0,0,1,1,0,0,0,4,3,1,50,23,27,5,0,0.04,0.04,0,0,0,0,2,45,87,450,2251,0.2,314,219,162,23
Maya Yoshida,34,588409200,1988/08/24,Premier League,2018/2019,Defender,Southampton,1520,800,720,Japan,17,9,8,0,0,0,1,1,0,0,0,3,1,2,27,14,13,0,0,0.06,0.06,0,0,0,0,1.6,56,89,0,1520,0,308,192,133,23
Mesut Özil,34,592902000,1988/10/15,Premier League,2018/2019,Midfielder,Arsenal,1741,1139,602,Germany,24,14,10,5,4,1,2,2,0,0,0,6,5,1,23,11,12,2,0,0.36,0.1,0.26,0.32,0.15,348,1.19,76,73,871,871,0.1,73,151,-1,4
Michael Keane,29,726739200,1993/01/11,Premier League,2018/2019,Defender,Everton,2970,1350,1620,England,33,15,18,1,0,1,2,1,1,0,0,13,8,5,37,15,22,2,0,0.09,0.06,0.03,0,0.06,2970,1.12,80,90,1485,1485,0.06,251,196,49,10
Michael Obafemi,22,962866800,2000/07/06,Premier League,2018/2019,Forward,Southampton,134,64,70,Republic of Ireland,6,2,4,1,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1.34,0.67,0.67,0,1.29,134,1.34,67,22,134,134,0.67,-1,-1,-1,16
Michail Antonio,32,638611200,1990/03/28,Premier League,2018/2019,Midfielder,West Ham United,2099,998,1101,England,33,16,17,6,4,2,4,2,2,0,0,5,3,2,26,10,16,3,0,0.43,0.17,0.26,0.36,0.16,350,1.11,81,64,700,525,0.13,77,85,-1,4
Michel Vorm,39,435481200,1983/10/20,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,90,90,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,22
Michy Batshuayi,29,749545200,1993/10/02,Premier League,2018/2019,Forward,Crystal Palace,756,368,388,Belgium,11,6,5,5,2,3,0,0,0,0,0,3,2,1,11,7,4,0,0,0.6,0,0.6,0.49,0.7,151,1.31,69,69,0,0,0,8,307,-1,4
Miguel Ángel Almirón Rejala,28,760867200,1994/02/10,Premier League,2018/2019,Midfielder,Newcastle United,763,405,358,Paraguay,10,5,5,0,0,0,0,0,0,0,0,3,2,1,10,4,6,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,282,311,-1,24
Miguel Ángel Britos Cabrera,37,490431600,1985/07/17,Premier League,2018/2019,Defender,Watford,185,13,172,Uruguay,3,1,2,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.43,37,62,0,0,0,-1,-1,-1,25
